	coll_lecture	sentence	reflection	sentiment
1575	2	Das brachte mich zum Nachdenken über die Verantwortung von Schulen und Lehrern in Bezug auf die Gesundheit und das Wohlbefinden von kleinen Kindern.	1	3
2875	2	Das ist ein weiter Weg von den Einzeltischen und dem einsamen Lernen der Vergangenheit.	0	2
1	1	Ich fand die Erfahrung ziemlich positiv, mein Team war sehr freundlich, wir hatten keine Probleme mit Aufgabenaufteilung und Time-management	1	5
1086	2	haben sie eine Vorstellung von Zeit?	1	3
1579	2	"Meiner Erfahrung nach ist das Angebot im Rahmen von Sportunterricht, Sporttagen und ""Spielzeiten"" oder Pausen ziemlich begrenzt."	0	2
322	2	Allerdings scheint dies weniger wichtig zu werden, wenn die Kinder sich durch ihr Schulleben bewegen und sich auf das Lernen von Konzepten und Informationen konzentrieren müssen, die in formalen Tests und Beurteilungen behandelt werden.	1	2
1835	2	Wie auch immer, ich habe alles gut verkraftet und hatte eine äußerst produktive zweite Woche in Moulsford. 	1	5
2984	2	Durch Beobachtung und Erforschung von Merkmalen unseres Sonnensystems kann ich einfache Modelle verwenden, um mein Verständnis von Größe, Maßstab, Zeit und relativer Bewegung innerhalb des Systems zu vermitteln.	0	3
1495	2	Die Kinder machen auch Gebrauch von der Technologie, indem sie in kleinen Gruppen Spiele auf ihren Smartboards spielen oder einzeln versuchen, die richtige Schreibweise für die Wörter auf einer ipad-App zu finden.	0	3
405	2	Von der Recherche über die verschiedenen Arten von Experimenten bis hin zum Nachlesen und Ausprobieren!	0	3
407	2	Die Materialien der Erde sind ein faszinierender Teil der Wissenschaft!	0	4
1537	2	Ich habe vier Beine, aber ich habe diese vier Wände nie verlassen ...	0	3
2591	2	fbDas Feedback, das ich erhalten habe, war sehr positiv und ich habe es als eine positive Erfahrung aufgenommen.	1	4
2845	2	Es gibt auch Fälle, in denen diejenigen, mit denen wir zusammenarbeiten, nicht entgegenkommend sind und nicht interessiert zu sein scheinen.	0	2
1005	2	Aber ich kann es einigen Lehrern wirklich nicht verübeln!	0	3
1304	2	Quellen wie dieser Beitrag von Teach Hub weisen auf die vielen Vorteile hin, die persönliche Geräte mit sich bringen, darunter:  Die Kinder lernen, die ihnen zur Verfügung stehende Technologie zu nutzen und das Beste daraus zu machen.	0	4
2160	2	So lustig ich ihre Überraschung auch fand, der Tag neigte sich dem Ende zu und ich half der Klassenlehrerin, die Jungs auf den Feierabend vorzubereiten und traf sogar ein paar ihrer Eltern, als ich sie vor die Tür schickte.	0	3
3014	2	" Das Video ""Professionalism (teachers say) auf youtube: https://www.youtube.com/watch?v=9ychgs3rrdA diskutiert verschiedene Ansichten über die Professionalität von Lehrern."	0	3
2717	2	Zum Beispiel gibt es beim Schreiben Laut-Symbol-Verbindungen, die auch beim Erlernen des Rechtschreibens, aber auch des Lesens wichtig sind.	0	3
491	2	Zuhörfähigkeiten	0	3
1166	2	Es ist ein großer Schritt nach vorne für mich in Bezug auf die Öffnung darüber, wer ich bin, und ich hoffe, dass es einen nützlichen Einblick für jeden bietet, der mit Kindern arbeitet, die ähnliche Eigenschaften besitzen.	1	4
52	2	Dies gibt den Mädchen die Möglichkeit, den Umgang mit dem anderen Geschlecht zu lernen, was sowohl ihre persönliche als auch ihre soziale Entwicklung fördert.	1	4
1035	2	Daher kann das Vorwissen auch dem Lehrer im Klassenzimmer zugute kommen.	1	4
1703	2	Ich fand das Video über aktives Lernen sehr interessant.	0	4
923	2	Dinge, die für die nächste Lektion geändert werden sollen:	0	3
939	2	Die ganze Erfahrung machte mich stolz, wir hatten dieses Meisterwerk geschaffen und wir hatten die Möglichkeit zu zeigen, was wir über Frankreich wissen.	1	4
2584	2	"Ich persönlich bin gegen die zunehmende ""Jeder bekommt eine Medaille am Sporttag""-Kultur, die ich in einigen Einrichtungen gesehen habe, da ich der Meinung bin, dass dies nicht das wahre Leben widerspiegelt."	1	2
9	1	Eine Erfahrung hat viel mit Selbstmotivation zu tun.	1	3
3	1	Wir konnten die Aufgaben fair und effizient aufteilen und größtenteils auch die von uns gesetzten Deadlines einhalten.	1	4
2499	2	"In seinem Vortrag erwähnt Khan die Idee des ""umgedrehten Klassenzimmers""."	0	3
2697	2	Ich habe 3 Jahre lang versucht, ins Lehramt zu kommen, und das ist eine der härtesten Sachen, die ich je durchgemacht habe.	1	2
736	2	Vielleicht liegt es an der Gegend, aus der ich komme, aber ich denke, dass es sich damals eher um eine landesweite Verschiebung handelte, bei der die Relevanz von Gesundheit und Wohlbefinden erkannt wurde.	1	3
3448	2	Die professionellen Standards, die wir anstreben, sind wichtig, um uns zu den besten Lehrern zu formen, die wir sein können.	0	3
3258	2	Ich habe begonnen, ein Verzeichnis der Literatur zu führen, die ich für meine eigene berufliche Entwicklung gelesen habe bzw. noch lesen möchte.	0	3
1234	2	Es erstaunt mich immer wieder, dass Menschen denken, dass der Weg zum Frieden über den Krieg führt.	0	2
2977	2	Im Anschluss an den Input wurde uns ein TDT gestellt, der die Planung einer wissenschaftlichen Lektion beinhaltet.	0	3
1980	2	Das bedeutet, dass die Ausstellung Aspekte enthält, mit denen sich die Kinder beschäftigen und ihr Lernen erweitern können.  Ich würde	0	3
2601	2	Die meisten Leute hatten jedoch so fantastische Beiträge, dass ich buchstäblich mit einer Art Schreibblockade zu kämpfen hatte!	0	4
2796	2	"Mein Besuchstag hat mir bereits geholfen, mich etwas sicherer zu fühlen, da ich sehen konnte, auf welchem Niveau die Kinder arbeiten und wie dies mit dem ""Figurenotes""-Ansatz verbunden ist."	1	4
763	2	Je mehr ich heute Morgen darüber nachgedacht habe, desto mehr habe ich darüber nachgedacht, ob ich jemals darüber nachgedacht habe, dass Jungen schlauer sind als ich, als ich aufwuchs.	1	3
2736	2	Dies würde es dem Lehrer ermöglichen, einige brillante Diskussionen darüber zu führen, was mit uns passiert, wenn jemand unfreundlich ist.	1	4
2945	2	Während des gesamten Workshops demonstrierte Carrie verschiedene aktive Lernstrategien und ließ uns daran teilnehmen.	0	3
351	2	Selbstwertgefühl ist etwas, das wir alle haben, aber verschiedene Menschen haben unterschiedliche Niveaus davon;	0	3
2050	2	Die zusätzliche Socke soll mich unterstützen, wenn ich das Pech habe, eine von jeder Farbe innerhalb meiner ersten 3 herauszuziehen, die Ersatzsocke muss eine der Farben sein, daher garantiert dies ein passendes Paar!  	1	3
1375	2	Warum nehmen wir uns also als LehrerInnen nicht mehr Zeit, um zu fragen 'was wäre wenn'?	1	3
1642	2	Wir sollten immer wieder auf früheres Lernen zurückgreifen und Gelegenheiten ergreifen, um die Grundlagen für die Zukunft zu legen.	1	3
121	2	Daher ist die Wahrscheinlichkeit, dass die Regierung einen drastischen Betrag für Lateinlehrer und einen neuen Lehrplan für Latein ausgibt, gering, wenn sie anderen Abteilungen Geld wegnimmt.	1	2
2254	2	Das ist eine Botschaft, die ich mitnehmen werde, während ich mich zum Lehrer ausbilden lasse;	1	4
350	2	Selbstwertgefühl  Unser Selbstwertgefühl ist das Vertrauen, das wir in unseren persönlichen Wert und unsere verschiedenen Fähigkeiten haben.	0	3
2387	2	Die Kinder entzifferten einen Text aus dem Lateinischen ins Englische und das war meine Gelegenheit, in der Klasse herumzugehen und mit den Jungen darüber zu sprechen, was sie getan hatten und wie sie es getan hatten.	0	3
75	1	Auf die Daten zu warten hat lang gedauert und diese zu Verarbeiten war mehr fleißarbeit als Problemlösung.	1	2
1208	2	Es ist wichtig, andere Mitarbeiter und Mitglieder der Gemeinschaft zu respektieren, um ein gutes Beispiel für Ihre Schüler zu geben, dem sie folgen können.	1	3
1746	2	Es gab viele Dinge in der Kirche, die mein Interesse weckten, darunter die riesige Orgel, die beeindruckenden Buntglasfenster und die Denkmäler und Schnitzereien, die die Geschichte bedeutender Menschen erzählen.	1	3
490	2	Meine Sprache muss einen hohen Standard haben, da ich ein Vorbild für die Schüler sein werde.	1	3
1653	2	In der Grundschule war ich in Mathe wirklich überragend, weil ich es extrem faszinierend fand.	1	4
2427	2	Ich würde mich für einen Ausflug zum Mills Observatory in Dundee entscheiden, da dies den Kindern die Möglichkeit gibt, einige der Sterne und Planeten zu sehen, über die sie im Unterricht zuvor gelernt haben.	1	3
1992	2	Worum geht es beim Feedback?	0	3
119	0	Die Diskussion über das Thema war interessant und ich habe mit Begeisterung teilgenommen	1	4
370	2	Manche Kinder fühlen sich wohl, wenn sie allein sind, und haben vielleicht einfach andere Vorstellungen von sozialen Kontakten als ihre Altersgenossen.	0	3
449	2	Ich wollte schon immer mal die Waldschule in Aktion sehen und bin so vorbereitet, dass ich sogar zu Sainsbury's gegangen bin und ein paar flippige Gummistiefel gekauft habe, damit meine Füße trocken bleiben.	1	4
3531	2	Es war auch interessant zu sehen, wie die eigenen Ideen der Kinder in den Tanz einflossen, was ihnen ein gewisses Maß an Eigenverantwortung und Stolz auf ihre Arbeit gab.	1	4
2502	2	Es wird angenommen, dass diese Methode es den Lehrern ermöglicht, mehr Zeit auf die individuellen Bedürfnisse der Kinder einzugehen, sei es zur Unterstützung bei spezifischen Problemen oder zur Herausforderung für die leistungsstärkeren Schüler. 	0	3
3220	2	Daher ist es wichtig, dass zukünftige (und derzeitige) LehrerInnen darauf abzielen, den naturwissenschaftlichen Unterricht für die SchülerInnen zu verbessern - indem sie ihnen die Fähigkeiten und das Wissen auf sinnvolle Weise vermitteln.	1	3
456	2	Diese Fragen beinhalten:  Wie sicher fühlen Sie sich beim Unterrichten von Musik?	0	3
1947	2	Das habe ich erlebt, als ein Kind mit Autismus von einem Gleichaltrigen geärgert wurde und aggressiv wurde.	1	2
109	1	Das einzige was sich in meiner Wahrnehmung geändert hat ist, dass die Bürokratie bei der Polizei noch viel schlimmer ist als ich gedacht hätte.	1	2
980	2	Es geht um Ausdruck und die Freiheit, die entsteht, wenn man die Dinge loslässt, die wir in uns aufgestaut haben.	1	4
2882	2	Es kann auch der Fall sein, dass die Schüler einander nicht zuhören, sondern unbedingt etwas sagen wollen, auch wenn es nicht relevant für die vorhergehenden Punkte ist, die gemacht wurden.	1	3
160	2	Wenn ich jetzt zurückblicke, wird mir klar, dass dies wahrscheinlich niemandem in der Klasse geholfen hat.	1	2
530	2	Rechenfertigkeiten	0	3
2588	2	" Unter dem Begriff ""Feedback"" versteht man hilfreiche Informationen, die dazu dienen, Ihre Arbeit entweder zu loben oder zu kritisieren."	0	3
2944	2	Sie können vielleicht auch Verbindungen herstellen, wenn sie die englische Version gehört haben.	1	3
596	2	Während meiner Arbeit in der Kita haben wir ein bisschen Geografie gemacht.	0	3
2378	2	Was ich gemacht habe und eine Auswertung der Stunde können Sie hier nachlesen.	0	3
3442	2	Diese sind in zwei Teile aufgeteilt, die Standards für die vorläufige Registrierung (SPR) und die Standards für die volle Registrierung (SFR).	0	3
368	2	Außerdem behauptet sie, dass ein Kind ohne Unterstützung durch Gleichaltrige ein geringes Selbstwertgefühl haben wird.	0	3
288	2	Durch die Entwicklung eines Bewusstseins und einer Wertschätzung des Wertes jedes Einzelnen in einer vielfältigen Gesellschaft erzeugt die religiöse und moralische Erziehung eine verantwortungsvolle Haltung gegenüber anderen Menschen.	0	3
2047	2	Im Grunde genommen haben wir eine Zahl herausgezogen, die größer ist als die Anzahl der Farben der Socken, die wir haben, immer noch mit mir?	0	3
1437	2	Als jemand, der ein regelmäßiger Facebook-Benutzer ist, sehe ich eine Menge von seltsamen und wunderbaren Videos auf meiner Timeline auf einer täglichen Basis, aber dieses hat mein Favorit bei weitem gewesen.	0	3
64	1	Wir haben vorerst eine Alternative gefunden.	0	3
2941	2	Ich nehme an den Französisch- und Spanisch-Workshops teil, da ich in der Vergangenheit Französisch gelernt habe (wie bereits erwähnt in der Grundschule und dann bei einem katastrophalen Versuch in der weiterführenden Schule) und hoffe, dass ich dadurch einen Ausgangspunkt habe, auf dem ich aufbauen kann.	1	3
1076	2	Ich denke, es ist entscheidend, dass wir nicht nur Lehrer, sondern auch unsere Freunde, Familien und Kollegen in der ganzen Gesellschaft unterstützen und ermutigen, ihr Wohlbefinden an erste Stelle zu setzen.	0	3
2184	2	Darüber hinaus bin ich persönlich der Meinung, dass, wenn man Kindern die Möglichkeit gibt, lesen zu lernen, indem man ihnen erlaubt, ihre Bücher selbst auszuwählen, die Kinder eher Geschichten auswählen, von denen sie glauben, dass sie ihnen gefallen werden, und somit Spaß am Lesen haben, was ihnen in der Zukunft eine positive Einstellung zum Lesen vermitteln kann.	1	4
622	2	Zusätzlich zu all den Nerven, die ich vor meinem letzten Praktikum hatte, habe ich ungefähr zehn Zillionen mehr angesammelt.	1	1
2570	2	"Lernen im Freien kann hervorragende Möglichkeiten für ""riskantes Spielen"" bieten."	0	4
2889	2	Unten sehen Sie ein schönes Video von Education Scotland, in dem Kinder gemeinsam überlegen, wie sie zu einer Diskussion beitragen können.	0	4
1684	2	Viele verschiedene Markierungsstrategien wie zwei Sterne und - hier ist ein Beispiel für den lila Fortschrittsstift in Aktion!	0	3
2707	2	Dazu gehört auch das Wissen über die Art und Weise, wie Laute miteinander verbunden sind und wie dies schriftlich dargestellt wird.	0	3
2683	2	Aus irgendeinem Grund haben Nicola Sturgeon und ihre Regierung beschlossen, dass das Testen aller Kinder in Schottland die große Leistungslücke schließen wird, die hier in Schottland ein großes Problem darstellt.	0	3
979	2	In der Musik geht es nicht nur darum, jede Note in der richtigen Melodie, mit perfektem Rhythmus und größtem Tonumfang zu spielen oder zu singen.	0	3
3205	2	Die Rahmen stellten Fragen, um sicherzustellen, dass wir unsere Variablen und Kontrollmethoden berücksichtigen.	0	3
14	1	Wir haben die Entscheidung als Team beschlossen und uns gemeinsam an die Aufgabe rangesetzt, bzw. aufgeteilt. 	0	3
2766	2	Spielbasiertes Lernen ist normalerweise eine geplante Erfahrung mit einem geplanten Ergebnis.	0	3
2928	2	Natürlich ist es schon lange her, dass ich in der Grundschule war (oh, da fühle ich mich alt)	0	3
3493	2	Das half ihnen zu erkennen, dass das Tempo ihres Gesangs mit der Geschwindigkeit zusammenhing, mit der sie sich bewegten.	0	3
1922	2	Durch das Feedback des Klassenlehrers und meine formative Beurteilung erfuhr ich, dass die Kinder es brauchten, dass ich sehr strukturiert und konsequent in meinem Lernstil war, da sie eher jemandem vertrauten, der sich sicher ist, was er unterrichtet.	1	4
1933	2	Ich verbesserte das Tempo meines Unterrichts, indem ich Ressourcen wie Online-Timer einsetzte und einige Kinder für die Beantwortung von Fragen auswählte, anstatt jedem Kind bei der Antwort zuzuhören.	1	4
2380	2	Ich habe ihn am Sonntagabend veröffentlicht, damit ihn jeder lesen kann, da es eines meiner Ziele ist, mit einem anderen Lehrplan zu arbeiten und etwas über Privatschulen zu lernen.	1	3
1664	2	- Ist es wirklich so, wie wir wollen, dass sich Kinder fühlen, wenn wir sie etikettieren?	0	3
212	2	Darauf aufbauend hatte ich eine sehr ausführliche Diskussion mit einem Jungen über Feen und Elfen, die in Bäumen leben, und er konnte mir von jedem Zimmer im Baum erzählen und was sie zum Abendessen essen würden usw.	0	3
23	1	Für mich hat sich auch herausgestellt, dass eine gute Vorbereitung die halbe Miete ist. 	1	3
3572	2	Während des Gehens würde ich die Kinder zu einem lustigen Gesang oder Lied anleiten.	0	4
3158	2	Bei den Geschichtenstunden überträgt sich die Begeisterung der Lehrerin für Bücher regelmäßig auf die Kinder.	0	3
3246	2	5.     Nun ist dies ein Ziel, von dem ich getrost sagen kann, dass ich es erreicht habe!	1	4
3535	2	Ich hatte gehofft, die Aufführung heute Abend zu besuchen, aber leider werde ich es nicht schaffen.	1	2
932	2	Eine Unterrichtsstunde ist mir besonders im Gedächtnis geblieben, nämlich der Tag, an dem es der Lehrerin gelang, in den vier Wänden unseres ganz normalen Klassenzimmers eine fast völlig andere Welt zu schaffen.	1	4
783	2	Wenn das keine Werbung für Diskussionen über Geschlechterstereotypen in Grundschulen ist, weiß ich nicht, was es ist.	1	3
2247	2	"Ein Teil der Show, der mich sehr beeindruckt hat, war, als eine der Hebammen erwähnte, wie wichtig es ist, ""lachen zu können""."	0	3
2316	2	"Ich habe das Gefühl, dass eine forschende Haltung mich anspornt, offen für neue Ansätze und Ideen zu sein, während sie mich davor bewahrt, jemals zu ""bequem"" zu werden."	1	3
2867	2	Wenn ich an die Grund- und Sekundarschule zurückdenke, waren die Lehrer, die den größten Einfluss auf mich hatten, immer diejenigen, die ich als freundlich empfand.	1	4
3411	2	Bei der Geburt haben wir bereits alle Gehirnzellen, die wir brauchen, zusammen mit Milliarden von miteinander verbundenen Neuronen.	0	3
2010	2	Schließlich beendete ich das Gespräch mit mehr Lob und Ermutigung.	0	3
86	1	Es ist einfacher Objekterkennung und Mustererkennung zu nutzen/implementieren als gedacht.	1	3
1022	2	Ich könnte sogar versuchen, meine Klasse dazu zu bringen, ihre eigene Mahlzeit aus dieser Zeit zuzubereiten, um zu sehen, ob sie gerne Speisen aus dieser Zeit essen/zubereiten würden - wenn man es ihnen auf die richtige Art und Weise beibringt, würde es sicherlich einen Bezug zu ihrem heutigen Leben haben!	1	4
2432	2	Auch das Verfolgen von Nachrichten über die Astronauten, die derzeit im Weltraum sind, kann bei meinem Versuch, eine klare Wissensbasis zu schaffen, hilfreich sein.	1	3
768	2	"Wenn ich jetzt beruflich darüber nachdenke und dieses Jahr das Modul ""Interkulturelles Arbeiten"" habe, denke ich wirklich über einige der weiblichen Vorbilder nach, die Kinder in ihrem Leben haben."	1	3
401	2	Heute hatten wir unseren ersten Wissenschaftsworkshop mit Professor.	0	3
1217	2	Arbeiten Sie kooperativ mit den Mitarbeitern und anderen Gremien der Gemeinschaft zusammen.	1	4
2774	2	Es gibt viele Studien, die den Nutzen von Musikerziehung untersucht haben.	0	3
2569	2	Dies ermöglicht es ihnen, die Verantwortung für ihre eigene Sicherheit zu übernehmen.	0	4
542	2	Ideen zum Schreiben von Sachbüchern	0	3
79	1	Alles in allem bin ich aber sehr zufrieden und glücklich.	1	4
131	2	Gratias ago vos pro lectio!	0	3
1527	2	(Bering wurde Dritter, und ich würde gerne glauben, dass dies etwas mit meinem fabelhaften Tamburinspiel zu tun hatte...).	0	4
97	1	in der Praxis sehr gut anwendbar	0	5
1957	2	Alles hat seinen Platz, und jeder Platz ist aus einem bestimmten Grund da.   	0	3
1871	2	Zunächst einmal möchte ich sagen, wie wichtig es für mich ist, Kindern von klein auf etwas über Gesundheit und Wohlbefinden beizubringen.	0	3
1924	2	Dieses Selbstvertrauen ist etwas, das ich während der vier Wochen aufbauen musste.	0	3
86	1	Danach war ich erleichtert.	1	4
1152	2	Mir ist klar, dass das seltsam und nicht nachvollziehbar klingt, aber das ist genau der Grund, warum ich es aktiv vermieden habe, offen über diesen Teil von mir zu sprechen.	1	2
651	2	Es ist weithin bekannt, dass die schottische Regierung verlangt, dass Schulen mindestens ein schottisches Geschichtsthema in der Oberstufe anbieten.	0	3
57	2	- 3.2.1 Schaffen Sie eine sichere, fürsorgliche und zielgerichtete Lernumgebung (GTCS, 2012).	0	3
11	1	Sodass zwei von zwei Technologien zu Herausforderungen wurden, anstatt eine optimale Lösung herauszukristallisieren.	1	3
2989	2	Erreichbar - Ich benutze das Internet und Universitätsressourcen, um Informationen zu sammeln.	0	3
2596	2	Bis jetzt hat man mir jedoch noch keine verbesserungswürdigen Bereiche genannt.	0	2
3096	2	Ein freundlicher Lehrer ist ansprechbar und seine Schüler werden sich eher auf den Unterricht einlassen und Fragen stellen.	0	3
2615	2	Wenn man jemandem nicht einen Hinweis gibt, wie er sich verbessern kann, was ist dann überhaupt der Sinn des anfänglichen Feedbacks?	1	3
45	2	Ich war begeistert von der Aussicht auf diese Aufgabe.	1	4
529	2	"Ich werde auch weiterhin an Online-Diskussionsgruppen teilnehmen und mit Hilfe von Sharing-Websites wie ""Pinterest"" recherchieren."	1	3
1050	2	Dieser Jongleur repräsentiert einen Studenten im vierten Jahr.	1	3
560	2	Würden sie ihnen mehr zusagen, weil man jede Woche eine neue Zeitschrift bekommt usw.?	0	3
2331	2	Dieses Menü enthält Links zu anderen Bereichen der BBC wie iPlayer, Reisen und Radio, aber es enthält auch einen Link zu einer Seite, von der ich noch nie gehört hatte: iWonder.  	0	3
2744	2	Sue Palmer ist die Gründerin der Bewegung.	0	3
2404	2	Genauer gesagt habe ich darüber unterrichtet, wie Pflanzen wachsen und welchen Nutzen Wurzeln für Pflanzen haben.	0	3
1051	2	Der Jongleur beginnt damit, einen Ball in der Luft hoch und runter zu werfen - dieser Ball steht für die erste Aufgabe, die der Student für das Jahr gestellt bekommen hat.	1	3
53	0	Ich habe erkannt, dass das Thema Ethik der KI sehr aktuell ist und nicht nur Aufmerksamkeit in Form von Diskussionen und Analysen benötigt, da dieser Prozess ein Teil des laufenden Prozesses ist, sondern wir brauchen auch eine Form von Maßnahmen, damit auch eine niedrige Stufe der KI-Implementierung auch die ethische Problematik berücksichtigt, bevor sie in einem realen Szenario implementiert wird.	1	3
423	2	Ich werde mich bemühen, die verschiedenen Bereiche der Wissenschaft sowie die Dokumente des Curriculums für Exzellenz in Bezug auf die Wissenschaft zu studieren.	1	4
2764	2	Verstehen Sie mich bitte nicht falsch.	0	3
94	1	Ich hätte mich anfangs besser in das Thema ML einarbeiten können.	1	2
51	2	An jedem Außentisch in der 4er-Reihe würden 2 Mädchen sitzen und an jedem Außentisch in der 3er-Reihe ein Mädchen.	0	3
1607	2	Ich selbst habe mir eine Prüfungsarbeit in Religionskunde angesehen, in der die Fragen Themen wie Elias, die 10 Gebote, Jesus, Kain und Abel usw. behandeln.	0	3
3511	2	"Eine Möglichkeit, dies zu tun, war eine ""Hocket""-ähnliche Aktivität, bei der die Kinder in 5 Gruppen (mit gemischten Instrumenten) aufgeteilt wurden und jeweils eine Note erhielten."	0	3
3578	2	Während eines brillanten IKT-Inputs mit Sharon Tonner letzte Woche wurde uns gezeigt, wie man verschiedene Software verwendet, um Kindern etwas über Animation beizubringen!	0	3
2066	2	Die Mitarbeiter der Schule sind so hilfsbereit und freundlich und waren so glücklich, alles zu tun, was sie konnten, um mir zu helfen, dieses Modul zu bestehen, so dass ich das Glück hatte, viel Input für diesen Blogpost zu bekommen.	0	4
1305	2	In einer Gesellschaft, die zunehmend von Technologie geprägt ist, sind dies wichtige Fähigkeiten.	0	3
2687	2	Jugendliche in der 4., 5. und 6. Klasse müssen Jahr für Jahr das strenge Prüfungssystem der SQA durchlaufen, und es ist fast unmöglich für sie, ihr Ergebnis zu ändern, wenn sie einen schlechten Tag haben.	0	2
610	2	Und schließlich ist eine großartige Möglichkeit, mit der ich bald beginnen werde, der Besuch von Orten.	0	4
1528	2	Heute war vielleicht nicht der akademischste Tag für einen Lehramtsstudenten, aber ich habe den Tag wirklich genossen, zu hören, welche musikalischen Talente Moulsford zu bieten hat, und zu sehen, wie sie einen ganzen Tag vom Lernen weggenommen haben, um Zeit mit der Arbeit in Teams zu verbringen.	1	4
43	1	Die Zeit Setzung der Meilensteine war in Ordnung gewählt nur der letzte Meilenstein warf neue Fragen und Ansätze auf welche vorher nicht ein kalkulierbar waren und deshalb das Endergebnis geschmälert haben.	1	3
897	2	Es ist klar, dass die Schulen beginnen, die Bedeutung der Aufklärung der Kinder über Online-Bedrohungen zu erkennen.	1	4
1038	2	Außerdem sollte, wie Roberts (2014, S.193) vorschlägt, ein Schulcurriculum das Alltagswissen eines Kindes nicht ausschließen, sondern es sollte genutzt werden.	0	3
862	2	Ich habe auch bemerkt, dass alle Dinge, die wir im Raum benutzt haben, für uns leicht verfügbar sind, in einem Klassenzimmer sind sie es vielleicht nicht und man muss vielleicht etwas von zu Hause mitbringen (wie eine Heißklebepistole) oder sogar in die Geschäfte gehen und sein eigenes Geld dafür ausgeben.	1	3
804	2	Selbstbewusst in der Arbeit mit Kleinkindern, Heinzelmännchen und Pfadfindern	1	4
1928	2	Wenn die Kinder unsicher waren oder dachten, ich hätte die Stunde nicht unter Kontrolle, wurden sie unruhig und folgten meinen Anweisungen nicht.	1	2
1919	2	Ich habe festgestellt, dass ich in einer kleinen Gruppe entspannter sein konnte und dass das Verhalten der Kinder dadurch viel besser war.	1	4
90	2	Ich werde sowohl Displays mit den Arbeiten der Kinder als auch informative Schilder haben.	1	3
8	0	Schöne Diskussion, vor allem die unterschiedlichen Perspektiven aufgrund der heterogenen Gruppe.	1	4
194	2	Die Atmosphäre war wirklich herzerwärmend für einen totalen Außenseiter in Sachen Waldschule wie mich.	0	4
2276	2	Meiner Meinung nach nutzt die Schule derzeit nicht die effektivsten Möglichkeiten für Kinder, zu lernen und sich zu entwickeln.	1	3
2740	2	Es wird vermutet, dass dieses frühe Einschulungsalter negative Auswirkungen auf unsere Kinder haben könnte, nicht nur akademisch, sondern auch in Bezug auf ihr allgemeines Wohlbefinden.	0	2
1609	2	" Das Curriculum for Excellence (CfE) in Schottland hat nicht so viele Erfahrungen und Ergebnisse für den Religionsunterricht und trägt eigentlich den Titel ""Religious and - an example of some of the things the children following CfE will be taught Moral Education""."	0	3
38	2	Ich persönlich bin der Meinung, dass es besser wäre, wenn sich die Schulen über die wahren Gründe für ihre Uniformen Gedanken machen würden.	1	2
521	2	Formales Debattieren	0	3
2965	2	Während meiner Arbeit mit Vorschulkindern habe ich das Gefühl, dass ich einladende und altersgerechte Erfahrungen bieten konnte, die einige wissenschaftliche Konzepte und Ideen berührten.	1	4
890	2	Ich habe das Gefühl, dass dies eine brillante Möglichkeit ist, sich mit anderen, die im Bildungssektor arbeiten, auszutauschen, sie zu ermutigen und zu unterstützen, und ich bin wirklich inspiriert von den leidenschaftlichen Menschen, mit denen ich mich aus der ganzen Welt verbunden habe.	1	5
144	2	Es sollte nicht einfach ein Standardstück über Wallace und Bruce sein, das die Geschichte dieser beiden Schotten erzählt.	0	3
772	2	Dies alles wurde in der 2016 von Girlguiding durchgeführten Umfrage zur Einstellung von Mädchen bestätigt.	0	3
