	coll_lecture	sentence	reflection	sentiment
1	1	Ich fand die Erfahrung recht positiv, mein Team war sehr freundlich, wir hatten keine Probleme mit der Aufgabenverteilung und dem Zeitmanagement.	1	5
1086	2	Haben sie ein Konzept von Zeit?	1	3
1579	2	"Meiner Erfahrung nach ist das Angebot während des Sportunterrichts, der Sporttage und der ""Spielzeit"" oder der Pausen ziemlich begrenzt."	0	2
322	2	Dies scheint jedoch an Bedeutung zu verlieren, wenn die Kinder ihre Schullaufbahn durchlaufen und sich auf das Lernen von Konzepten und Informationen konzentrieren müssen, die in formalen Tests und Beurteilungen behandelt werden.	1	2
1835	2	Wie dem auch sei, ich habe das alles gelassen hingenommen und hatte eine äußerst produktive zweite Woche in Moulsford.	1	5
2984	2	Durch das Beobachten und Erforschen von Merkmalen unseres Sonnensystems kann ich einfache Modelle verwenden, um mein Verständnis von Größe, Maßstab, Zeit und relativer Bewegung innerhalb des Systems zu vermitteln.	0	3
1495	2	Die Kinder nutzen auch die Technologie, indem sie in kleinen Gruppen Spiele auf ihren Smartboards spielen oder einzeln versuchen, die richtige Schreibweise für die Wörter auf einer iPad-App zu finden.	0	3
405	2	Ich recherchierte die verschiedenen Arten von Experimenten, las über sie und probierte sie aus!	0	3
407	2	Erdmaterialien sind ein faszinierender Teil der Wissenschaft!	0	4
1537	2	Ich habe vier Beine, aber ich habe diese vier Wände noch nie verlassen ....	0	3
2591	2	fbDas Feedback, das ich erhalten habe, war sehr positiv, und ich habe es als eine positive Erfahrung betrachtet.	1	4
2845	2	Es gibt auch Fälle, in denen die Personen, mit denen wir zusammenarbeiten, nicht mitteilsam sind und kein Interesse zu haben scheinen.	0	2
1005	2	Aber ich kann es einigen Lehrern wirklich nicht verübeln!	0	3
1304	2	In Quellen wie diesem Beitrag von Teach Hub wird auf die vielen Vorteile hingewiesen, die persönliche Geräte mit sich bringen, darunter:  Die Kinder lernen, die ihnen zur Verfügung stehende Technologie zu nutzen und das Beste aus ihr zu machen.	0	4
2160	2	So lustig ich ihre Überraschung auch fand, der Tag neigte sich dem Ende zu, und ich half der Klassenlehrerin, die Jungen auf das Ende des Tages vorzubereiten, und traf sogar ein paar ihrer Eltern, als ich sie zur Tür hinausschickte.	0	3
3014	2	"Das Video ""Professionalism (teachers say) on youtube: https://www.youtube.com/watch?v=9ychgs3rrdA erörtert verschiedene Ansichten über die Professionalität von Lehrern."	0	3
2717	2	Beim Schreiben gibt es zum Beispiel Laut-Symbol-Verbindungen, die auch beim Erlernen der Rechtschreibung und des Lesens wichtig sind.	0	3
491	2	Zuhörfähigkeiten	0	3
1166	2	Für mich ist es ein großer Schritt nach vorn, mich zu öffnen, und ich hoffe, dass es allen, die mit Kindern arbeiten, die ähnliche Charakterzüge haben, nützliche Einblicke bietet.	1	4
52	2	Dies gibt den Mädchen die Möglichkeit zu lernen, wie man mit dem anderen Geschlecht umgeht, was sowohl ihrer persönlichen als auch ihrer sozialen Entwicklung zugute kommt.	1	4
1035	2	Daher kann das Vorwissen auch dem Lehrer im Klassenzimmer zugute kommen.	1	4
1703	2	Ich fand das Video über aktives Lernen sehr interessant.	0	4
923	2	Dinge, die in der nächsten Lektion geändert werden sollten:	0	3
939	2	Die ganze Erfahrung machte mich stolz, denn wir hatten dieses Meisterwerk geschaffen und konnten zeigen, was wir über Frankreich wussten.	1	4
2584	2	"Ich persönlich bin gegen die zunehmende ""Jeder bekommt am Sporttag eine Medaille""-Kultur, die ich in einigen Einrichtungen beobachtet habe, da ich der Meinung bin, dass dies nicht dem wirklichen Leben entspricht."	1	2
9	1	Eine Erfahrung hat viel mit Eigenmotivation zu tun.	1	3
3	1	Wir waren in der Lage, die Aufgaben gerecht und effizient aufzuteilen, und zum größten Teil konnten wir die gesetzten Fristen einhalten.	1	4
2499	2	"In seinem Vortrag erwähnte Khan die Idee des ""umgedrehten Klassenzimmers""."	0	3
2697	2	Ich habe drei Jahre lang versucht, ein Lehramtsstudium zu beginnen, und das war eine der schwierigsten Sachen, die ich je durchgemacht habe.	1	2
736	2	Vielleicht liegt es an meiner Gegend, aber ich glaube, es war damals eher eine landesweite Umstellung, bei der die Bedeutung von Gesundheit und Wohlbefinden erkannt wurde.	1	3
3448	2	Die beruflichen Standards, die wir anstreben, sind wichtig, um uns zu den besten Lehrern zu machen, die wir sein können.	0	3
3258	2	Ich habe begonnen, ein Verzeichnis der Literatur zu führen, die ich für meine eigene berufliche Entwicklung gelesen habe oder zu lesen gedenke.	0	3
1234	2	Es erstaunt mich immer wieder, dass Menschen glauben, der Weg zum Frieden führe über den Krieg.	0	2
2977	2	Im Anschluss an den Input erhielten wir einen TDT, bei dem es um die Planung einer wissenschaftlichen Unterrichtsstunde ging.	0	3
1980	2	Das bedeutet, dass die Ausstellung Aspekte enthält, mit denen sich die Kinder beschäftigen und ihr Wissen erweitern können.	0	3
2601	2	Die meisten Leute hatten jedoch so fantastische Beiträge, dass ich buchstäblich mit einer Art Schreibblockade zu kämpfen hatte!	0	4
2796	2	"Mein Besuchstag hat mir bereits geholfen, mich ein wenig sicherer zu fühlen, da ich sehen konnte, auf welchem Niveau die Kinder arbeiten und wie dies mit dem ""Figurenotes""-Ansatz zusammenhängt."	1	4
763	2	Je mehr ich heute Morgen darüber nachgedacht habe, desto mehr habe ich darüber nachgedacht, ob ich als Kind jemals darüber nachgedacht habe, dass Jungen schlauer sind als ich.	1	3
2736	2	Dies ermöglicht den Lehrern einige brillante Diskussionen darüber, was mit uns passiert, wenn jemand unfreundlich ist.	1	4
2945	2	Während des gesamten Workshops demonstrierte Carrie mehrere aktive Lernstrategien und ließ uns daran teilnehmen.	0	3
351	2	Selbstwertgefühl haben wir alle, aber bei verschiedenen Menschen ist es unterschiedlich stark ausgeprägt;	0	3
2050	2	Die zusätzliche Socke soll mich absichern, falls ich das Pech habe, unter meinen ersten 3 Socken eine von jeder Farbe zu finden. Die Ersatzsocke muss eine der Farben sein, damit ich garantiert ein passendes Paar habe!	1	3
1375	2	"Warum also nehmen wir uns als Lehrer nicht mehr Zeit, um zu fragen, ""was wäre wenn""?"	1	3
1642	2	Wir sollten immer wieder auf früheres Lernen zurückgreifen und Gelegenheiten nutzen, um die Grundlagen für die Zukunft zu legen.	1	3
121	2	Daher ist die Wahrscheinlichkeit, dass die Regierung einen drastischen Betrag für Lateinlehrer und einen neuen Lateinlehrplan ausgibt, gering, wenn sie anderen Abteilungen Geld wegnimmt.	1	2
2254	2	Das ist eine Botschaft, die ich mitnehmen werde, wenn ich mich zur Lehrerin ausbilden lasse;	1	4
350	2	Selbstwertgefühl Unser Selbstwertgefühl ist das Vertrauen, das wir in unseren persönlichen Wert und unsere verschiedenen Fähigkeiten haben.	0	3
2387	2	Die Kinder entzifferten einen Text aus dem Lateinischen ins Englische, und das war meine Gelegenheit, in der Klasse herumzugehen und mit den Jungen darüber zu sprechen, was sie getan hatten und wie sie es getan hatten.	0	3
75	1	Die Wahrnehmung hat sich nicht sehr verändert	1	2
1208	2	Es ist wichtig, andere Mitarbeiter und Gemeindemitglieder zu respektieren, um ein gutes Beispiel für Ihre Schüler zu geben, dem sie folgen können.	1	3
1746	2	Es gab viele Dinge in der Kirche, die mein Interesse weckten, darunter die riesige Orgel, die beeindruckenden Glasfenster und die Denkmäler und Schnitzereien, die die Geschichte bedeutender Menschen erzählen.	1	3
490	2	Meine Sprache muss ein hohes Niveau haben, da ich ein Vorbild für die Schüler sein werde.	1	3
1653	2	In der Grundschule habe ich mich in Mathematik wirklich hervorgetan, weil ich es extrem faszinierend fand.	1	4
2427	2	Ich würde mich für einen Ausflug zum Mills Observatory in Dundee entscheiden, da die Kinder dort die Möglichkeit haben, einige der Sterne und Planeten zu sehen, über die sie zuvor im Unterricht gelernt haben.	1	3
1992	2	Was hat es mit dem Feedback auf sich?	0	3
119	0	Die Diskussion zum Thema war interessant und ich war mit Begeisterung dabei	1	4
370	2	Manche Kinder fühlen sich wohl, wenn sie allein sind, und haben vielleicht einfach andere Vorstellungen von sozialen Kontakten als ihre Altersgenossen.	0	3
449	2	Ich wollte schon immer mal die Waldschule in Aktion erleben und bin so gut vorbereitet, dass ich sogar bei Sainsbury's ein paar schicke Gummistiefel gekauft habe, damit meine Füße trocken bleiben.	1	4
3531	2	Es war auch interessant zu sehen, wie die eigenen Ideen der Kinder in den Tanz eingearbeitet wurden, was ihnen ein gewisses Maß an Eigenverantwortung und Stolz auf ihre Arbeit gab.	1	4
2502	2	Diese Methode soll es den Lehrern ermöglichen, mehr Zeit auf die individuellen Bedürfnisse der Kinder einzugehen, sei es, um bei spezifischen Problemen zu helfen oder um leistungsstärkere Schüler zu fördern.	0	3
3220	2	Daher ist es wichtig, dass künftige (und derzeitige) Lehrkräfte den naturwissenschaftlichen Unterricht für die Schüler verbessern und ihnen auf sinnvolle Art und Weise die entsprechenden Fähigkeiten und Kenntnisse vermitteln.	1	3
456	2	Diese Fragen lauten:  Wie sicher fühlen Sie sich beim Unterrichten von Musik?	0	3
1947	2	Ich habe dies erlebt, als ein Kind mit Autismus von einem Gleichaltrigen gehänselt wurde und aggressiv wurde.	1	2
109	1	Das Einzige, was sich in meiner Wahrnehmung geändert hat, ist, dass die Bürokratie bei der Polizei viel schlimmer ist, als ich gedacht hätte.	1	2
980	2	Es geht um Ausdruck und die Freiheit, die entsteht, wenn wir das loslassen, was wir in uns aufgestaut haben.	1	4
2882	2	Es kann auch vorkommen, dass die Schülerinnen und Schüler einander nicht zuhören, sondern unbedingt etwas sagen wollen, auch wenn es für die vorhergehenden Ausführungen nicht relevant ist.	1	3
160	2	Wenn ich jetzt zurückblicke, wird mir klar, dass das wahrscheinlich niemandem in der Klasse geholfen hat.	1	2
530	2	Rechenfähigkeiten	0	3
2588	2	Feedback ist eine hilfreiche Information, die dazu dient, Ihre Arbeit entweder zu loben oder zu kritisieren.	0	3
2944	2	Vielleicht können sie auch Verbindungen herstellen, nachdem sie die englische Version gehört haben.	1	3
596	2	Als ich im Kindergarten gearbeitet habe, haben wir auch ein bisschen Geografie gemacht.	0	3
2378	2	Was ich gemacht habe und wie die Stunde bewertet wurde, können Sie hier nachlesen.	0	3
3442	2	Diese sind in zwei Teile gegliedert: die Standards für die vorläufige Registrierung (SPR) und die Standards für die vollständige Registrierung (SFR).	0	3
368	2	Sie behauptet auch, dass ein Kind ohne Unterstützung durch Gleichaltrige ein geringes Selbstwertgefühl hat.	0	3
288	2	Durch die Entwicklung eines Bewusstseins und einer Wertschätzung für den Wert jedes Einzelnen in einer vielfältigen Gesellschaft führt die religiöse und moralische Erziehung zu einer verantwortungsbewussten Haltung gegenüber anderen.	0	3
2047	2	Im Grunde haben wir eine Zahl herausgezogen, die größer ist als die Anzahl der Sockenfarben, die wir haben, immer noch bei mir?	0	3
1437	2	Als regelmäßiger Facebook-Nutzer sehe ich täglich viele seltsame und wunderbare Videos in meiner Timeline, aber dieses ist mit Abstand mein Lieblingsvideo.	0	3
64	1	Wir haben für die Zeit eine Alternative gefunden.	0	3
2941	2	Ich nehme an den Französisch- und Spanisch-Workshops teil, weil ich in der Vergangenheit Französisch gelernt habe (wie erwähnt in der Grundschule und dann in einem katastrophalen Versuch in der Sekundarschule) und hoffe, dass ich damit einen Ausgangspunkt habe, auf dem ich aufbauen kann.	1	3
1076	2	Meiner Meinung nach ist es von entscheidender Bedeutung, dass wir nicht nur Lehrer, sondern auch unsere Freunde, Familien und Kollegen in der ganzen Gesellschaft unterstützen und ermutigen, ihr Wohlbefinden an die erste Stelle zu setzen.	0	3
2184	2	Außerdem glaube ich persönlich, dass, wenn man Kindern die Möglichkeit gibt, lesen zu lernen, indem man ihnen erlaubt, ihre eigenen Bücher auszuwählen, Kinder eher Geschichten auswählen, von denen sie glauben, dass sie ihnen gefallen werden, und somit Spaß am Lesen haben, was ihnen in Zukunft eine positive Einstellung zum Lesen vermitteln kann.	1	4
622	2	Zusätzlich zu all den Nerven, die ich vor meinem letzten Praktikum hatte, habe ich jetzt noch zehn Zillionen mehr angesammelt.	1	1
2570	2	"Das Lernen im Freien kann ausgezeichnete Möglichkeiten für ""riskantes Spiel"" bieten."	0	4
2889	2	Unten sehen Sie ein schönes Video von Education Scotland, in dem Kinder zusammenarbeiten, um herauszufinden, wie sie zu einer Diskussion beitragen können.	0	4
1684	2	Viele verschiedene Markierungsstrategien wie zwei Sterne und - hier ist ein Beispiel für den lila Fortschrittsstift in Aktion!	0	3
2707	2	Dazu gehört auch das Wissen, wie die Laute miteinander verbunden sind und wie dies in der Schrift dargestellt wird.	0	3
2683	2	Aus irgendeinem Grund haben Nicola Sturgeon und ihre Regierung beschlossen, dass Tests für alle Kinder in Schottland das enorme Leistungsgefälle, das hier in Schottland ein großes Problem darstellt, schließen werden.	0	3
979	2	In der Musik geht es nicht nur darum, jede Note in der richtigen Melodie, mit perfektem Rhythmus und dem größtmöglichen Tonumfang zu spielen oder zu singen.	0	3
3205	2	Die Rahmenpläne enthielten Fragen, um sicherzustellen, dass wir unsere Variablen und Kontrollmethoden berücksichtigten.	0	3
14	1	Wir trafen die Entscheidung als Team und gingen die Aufgabe gemeinsam an, oder wir teilten sie auf.	0	3
2766	2	Spielbasiertes Lernen ist in der Regel eine geplante Erfahrung mit einem geplanten Ergebnis.	0	3
2928	2	Natürlich ist es schon lange her, dass ich in der Grundschule war (oh, da fühle ich mich alt).	0	3
3493	2	So konnten sie erkennen, dass das Tempo ihres Gesangs mit der Geschwindigkeit, mit der sie sich bewegen, zusammenhängt.	0	3
1922	2	Durch das Feedback des Klassenlehrers und meine formative Beurteilung erfuhr ich, dass die Kinder einen sehr strukturierten und konsequenten Lernstil von mir brauchten, da sie eher jemandem vertrauten, der selbstbewusst unterrichtete.	1	4
1933	2	Ich verbesserte das Tempo meiner Unterrichtsstunde, indem ich Hilfsmittel wie Online-Timer einsetzte und einige Kinder zur Beantwortung von Fragen auswählte, anstatt jedem Kind bei der Antwort zuzuhören.	1	4
2380	2	Ich habe ihn am Sonntagabend veröffentlicht, damit ihn jeder lesen kann, denn eines meiner Ziele ist es, mit einem anderen Lehrplan zu arbeiten und mehr über Privatschulen zu erfahren.	1	3
1664	2	- Wollen wir wirklich, dass sich die Kinder so fühlen, wenn wir sie abstempeln?	0	3
212	2	Darauf aufbauend hatte ich ein sehr ausführliches Gespräch mit einem Jungen über Feen und Elfen, die in Bäumen leben, und er konnte mir von jedem Zimmer im Baum erzählen und was sie zum Abendessen essen usw.	0	3
23	1	Für mich hat sich auch gezeigt, dass eine gute Vorbereitung die halbe Miete ist.	1	3
3572	2	Während des Gehens würde ich die Kinder zu einem lustigen Gesang oder Lied anleiten.	0	4
3158	2	Während der Vorlesestunden überträgt sich die Begeisterung der Lehrerin für Bücher regelmäßig auf die Kinder.	0	3
3246	2	5 Das ist ein Ziel, von dem ich mit Sicherheit sagen kann, dass ich es erreicht habe!	1	4
3535	2	Ich hatte gehofft, der Aufführung heute Abend beizuwohnen, aber leider werde ich es nicht schaffen.	1	2
932	2	Eine Unterrichtsstunde ist mir besonders im Gedächtnis geblieben, und zwar der Tag, an dem es der Lehrerin gelang, in den vier Wänden unseres normalen Klassenzimmers eine fast völlig andere Welt zu schaffen.	1	4
783	2	Wenn das keine Werbung für Diskussionen über Geschlechterstereotypen in Grundschulen ist, dann weiß ich nicht, was es ist.	1	3
2247	2	"Ein Teil der Sendung, der mich wirklich beeindruckt hat, war, als eine der Hebammen erwähnte, wie wichtig es ist, ""lachen zu können""."	0	3
2316	2	"Ich habe das Gefühl, dass eine forschende Haltung mich anspornt, offen für neue Ansätze und Ideen zu sein, und mich gleichzeitig davor bewahrt, jemals zu ""bequem"" zu werden."	1	3
2867	2	Wenn ich an meine Grund- und Sekundarschulzeit zurückdenke, waren die Lehrer, die den größten Einfluss auf mich hatten, immer diejenigen, die ich als freundlich empfand.	1	4
3411	2	Bei der Geburt verfügen wir bereits über alle Gehirnzellen, die wir brauchen, sowie über Milliarden miteinander verbundener Neuronen.	0	3
2010	2	Schließlich beendete ich das Gespräch mit noch mehr Lob und Ermutigung.	0	3
86	1	Es ist einfacher, Objekterkennung und Mustererkennung zu verwenden/implementieren als gedacht.	1	3
1022	2	Ich könnte sogar versuchen, meine Klasse dazu zu bringen, ihre eigene Mahlzeit aus dieser Zeit zuzubereiten, um zu sehen, ob sie es genießen würden, Lebensmittel aus dieser Zeit zu essen/zuzuzubereiten - wenn es auf die richtige Art und Weise gelehrt wird, würde es sicherlich einen Bezug zu ihrem heutigen Leben haben!	1	4
2432	2	Auch das Verfolgen von Nachrichten über Astronauten, die sich derzeit im Weltraum aufhalten, kann hilfreich sein, um mir eine klare Wissensbasis zu schaffen.	1	3
768	2	"Wenn ich jetzt beruflich darüber nachdenke und das Modul ""Interkulturelles Arbeiten"" in diesem Jahr absolviere, denke ich wirklich über einige der weiblichen Vorbilder nach, die Kinder in ihrem Leben haben."	1	3
401	2	Heute hatten wir unseren ersten wissenschaftlichen Workshop mit Professor.	0	3
1217	2	Arbeiten Sie kooperativ mit dem Personal und anderen Einrichtungen der Gemeinschaft zusammen.	1	4
2774	2	Es gibt viele Studien, die die Vorteile der Musikerziehung untersucht haben.	0	3
2569	2	So können sie die Verantwortung für ihre eigene Sicherheit übernehmen.	0	4
542	2	Ideen zum Schreiben von Sachbüchern	0	3
79	1	Vor allem, wie viele kleine Schritte berücksichtigt werden müssen und auf welcher Ebene das Training stattfindet.	1	4
131	2	Gratias ago vos pro lectio!	0	3
1527	2	(Bering wurde Dritter, und ich glaube, das hatte etwas mit meinem fabelhaften Tamburinspiel zu tun...).	0	4
97	1	in der Praxis sehr gut anwendbar	0	5
1957	2	Alles hat seinen Platz, und jeder Platz hat einen bestimmten Grund.	0	3
1871	2	Zunächst einmal möchte ich sagen, wie wichtig es für mich ist, Kindern von klein auf etwas über Gesundheit und Wellness beizubringen.	0	3
1924	2	Dieses Selbstvertrauen musste ich während der vier Wochen aufbauen.	0	3
86	1	Wahrscheinlich hat sich die Wahrnehmung zum Positiven verändert, ich konnte mehr machen als erwartet.	1	4
1152	2	Mir ist klar, dass das seltsam und unverständlich klingt, aber genau deshalb habe ich es aktiv vermieden, offen über diesen Teil von mir zu sprechen.	1	2
651	2	Es ist allgemein bekannt, dass die schottische Regierung von den Schulen verlangt, in der Oberstufe mindestens ein schottisches Geschichtsthema anzubieten.	0	3
57	2	- 3.2.1 Schaffen Sie eine sichere, fürsorgliche und zielgerichtete Lernumgebung (GTCS, 2012).	0	3
11	1	So wurden zwei von zwei Technologien zu Herausforderungen, anstatt eine optimale Lösung herauszukristallisieren.	1	3
2989	2	Zugänglich - Ich nutze das Internet und Universitätsressourcen, um Informationen zu sammeln.	0	3
2596	2	Bis jetzt haben sie mir jedoch noch keine Bereiche genannt, die verbessert werden müssen.	0	2
3096	2	Ein freundlicher Lehrer ist ansprechbar, und seine Schüler werden sich eher auf den Unterricht einlassen und Fragen stellen.	0	3
2615	2	Wenn man jemandem keinen Hinweis darauf gibt, wie er sich verbessern kann, was ist dann überhaupt der Sinn einer ersten Rückmeldung?	1	3
45	2	Ich war begeistert von der Aussicht auf diese Aufgabe.	1	4
529	2	Ich werde weiterhin an Online-Diskussionsgruppen teilnehmen und auf Websites wie Pinterest recherchieren.	1	3
1050	2	Dieser Jongleur stellt einen Studenten im vierten Jahr dar.	1	3
560	2	Würden sie sie mehr mögen, weil man jede Woche eine neue Zeitschrift bekommt, usw.?	0	3
2331	2	Dieses Menü enthält Links zu anderen Bereichen der BBC wie iPlayer, Reisen und Radio, aber es enthält auch einen Link zu einer Website, von der ich noch nie gehört hatte: iWonder.	0	3
2744	2	Sue Palmer ist die Gründerin der Bewegung.	0	3
2404	2	Genauer gesagt unterrichtete ich darüber, wie Pflanzen wachsen und welchen Nutzen Wurzeln für Pflanzen haben.	0	3
1051	2	Der Jongleur beginnt damit, einen Ball in der Luft hoch und runter zu werfen - dieser Ball steht für die erste Aufgabe, die der Student in diesem Jahr erhalten hat.	1	3
53	0	Mir wurde klar, dass das Thema KI-Ethik sehr aktuell ist und nicht nur Aufmerksamkeit in Form von Diskussionen und Analysen braucht, da dies ein Teil des laufenden Prozesses ist, sondern wir brauchen auch eine Form des Handelns, damit auch eine niedrige Stufe der KI-Implementierung die ethische Frage berücksichtigt, bevor sie in einem realen Szenario umgesetzt wird.	1	3
423	2	Ich werde mich bemühen, die verschiedenen Bereiche der Wissenschaft sowie die Dokumente des Curriculum for Excellence zu studieren, die sich auf die Wissenschaft beziehen.	1	4
2764	2	Verstehen Sie mich bitte nicht falsch.	0	3
94	1	Ich hätte mich am Anfang besser über ML informieren können.	1	2
51	2	An jedem Außentisch in der 4er-Reihe würden 2 Mädchen sitzen und an jedem Außentisch in der 3er-Reihe ein Mädchen.	0	3
1607	2	Ich selbst habe mir eine Prüfungsarbeit in Religionskunde angesehen, in der Fragen zu Themen wie Elias, die 10 Gebote, Jesus, Kain und Abel usw. gestellt wurden.	0	3
3511	2	"Eine Möglichkeit, dies zu tun, war eine ""Hocket""-ähnliche Aktivität, bei der die Kinder in 5 Gruppen (mit gemischten Instrumenten) aufgeteilt wurden und jede eine Note erhielt."	0	3
3578	2	Während eines brillanten IKT-Inputs mit Sharon Tonner letzte Woche wurde uns gezeigt, wie man verschiedene Software verwendet, um Kindern etwas über Animation beizubringen!	0	3
2066	2	Die Mitarbeiter der Schule sind so hilfsbereit und freundlich und haben alles getan, um mir zu helfen, dieses Modul zu bestehen.	0	4
1305	2	In einer zunehmend technologiegesteuerten Gesellschaft sind dies wichtige Fähigkeiten.	0	3
2687	2	Jugendliche in der 4., 5. und 6. Klasse müssen sich Jahr für Jahr dem strengen SQA-Testsystem unterziehen, und es ist fast unmöglich für sie, ihr Ergebnis zu ändern, wenn sie einen schlechten Tag haben.	0	2
610	2	Und schließlich ist ein guter Weg, den ich bald einschlagen werde, der Besuch von Orten.	0	4
1528	2	Heute war vielleicht nicht der akademischste Tag für einen Lehramtsstudenten, aber ich habe es wirklich genossen, zu hören, was für ein musikalisches Talent Moulsford zu bieten hat, und zu sehen, wie sie sich einen ganzen Tag Zeit genommen haben, um in Teams zu arbeiten.	1	4
43	1	Der Zeitplan für die Meilensteine war in Ordnung, aber der letzte Meilenstein warf neue Fragen und Ansätze auf, die nicht im Voraus berechnet werden konnten und daher das Endergebnis schmälerten. Übersetzt mit www.DeepL.com/Translator (kostenlose Version)	1	3
897	2	Es ist klar, dass die Schulen allmählich erkennen, wie wichtig es ist, die Kinder über Online-Bedrohungen aufzuklären.	1	4
1038	2	Wie Roberts (2014, S. 193) vorschlägt, sollte ein Lehrplan das Alltagswissen eines Kindes nicht ausschließen, sondern es sollte genutzt werden.	0	3
862	2	Mir ist auch aufgefallen, dass wir alle Dinge, die wir im Zimmer benutzt haben, sofort zur Verfügung hatten. In einem Klassenzimmer ist das vielleicht nicht der Fall und man muss etwas von zu Hause mitbringen (z. B. eine Heißklebepistole) oder sogar in den Laden gehen und sein eigenes Geld dafür ausgeben.	1	3
804	2	Selbstbewusst in der Arbeit mit kleinen Kindern, Pfadfindern und Pfadfinderinnen.	1	4
1928	2	Wenn die Kinder unsicher waren oder das Gefühl hatten, dass ich den Unterricht nicht im Griff hatte, wurden sie unruhig und folgten meinen Anweisungen nicht.	1	2
1919	2	Ich stellte fest, dass ich in einer kleinen Gruppe entspannter sein konnte und dass das Verhalten der Kinder dadurch viel besser war.	1	4
90	2	Ich werde die Arbeiten der Kinder ausstellen und auch informative Schilder anbringen.	1	3
8	0	Schöne Diskussion, vor allem die unterschiedlichen Perspektiven aufgrund der heterogenen Gruppe.	1	4
194	2	Die Atmosphäre war wirklich herzerwärmend für einen absoluten Waldschulfremden wie mich.	0	4
2276	2	Meiner Meinung nach nutzen die Schulen derzeit nicht die effektivsten Möglichkeiten für das Lernen und die Entwicklung der Kinder.	1	3
2740	2	Es wird angenommen, dass dieses frühe Einschulungsalter negative Auswirkungen auf unsere Kinder haben könnte, nicht nur in akademischer Hinsicht, sondern auch in Bezug auf ihr allgemeines Wohlbefinden.	0	2
1609	2	"Das Curriculum for Excellence (CfE) in Schottland hat nicht so viele Erfahrungen und Ergebnisse für den Religionsunterricht und trägt den Titel ""Religious and - an example of some of the things the children following CfE will be taught Moral Education""."	0	3
38	2	Ich persönlich halte es für besser, wenn die Schulen über die wahren Gründe für ihre Uniformen nachdenken.	1	2
521	2	Formales Debattieren	0	3
2965	2	Bei der Arbeit mit Vorschulkindern hatte ich das Gefühl, dass ich fesselnde und altersgemäße Erfahrungen machen konnte, die einige wissenschaftliche Konzepte und Ideen berührten.	1	4
890	2	Ich habe das Gefühl, dass es eine großartige Möglichkeit ist, sich mit anderen im Bildungsbereich Tätigen auszutauschen, sie zu ermutigen und zu unterstützen, und ich bin wirklich inspiriert von den leidenschaftlichen Menschen, mit denen ich aus der ganzen Welt in Kontakt gekommen bin.	1	5
144	2	Es sollte nicht einfach ein Standardstück über Wallace und Bruce sein, das die Geschichte dieser beiden Schotten erzählt.	0	3
772	2	Dies alles wurde in der Umfrage zu den Einstellungen von Girlguiding 2016 bestätigt.	0	3
1955	2	So verlockend es auch ist, alles schön zu machen.	0	4
2076	2	All die bekannten Autoren wie J.K. Rowling, David Walliams und Julia Donaldson sind fantastisch, verstehen Sie mich nicht falsch, aber ich sage nur, dass es genauso erfüllend sein kann, Kinder mit alten Texten wie Peter Pan, Shakespeares Stücken und Alice im Wunderland in Kontakt zu bringen.	0	4
3275	2	"Den Begriff ""Irrenhaus"" würde ich allerdings nicht verwenden."	0	2
